YE,Code,Description,SortOrder
YEDec1999,1,YEDec 1999,1
YEMar2000,2,YEMar 2000,2
YEJun2000,3,YEJun 2000,3
YESep2000,4,YESep 2000,4
YEDec2000,5,YEDec 2000,5
YEMar2001,6,YEMar 2001,6
YEJun2001,7,YEJun 2001,7
YESep2001,8,YESep 2001,8
YEDec2001,9,YEDec 2001,9
YEMar2002,10,YEMar 2002,10
YEJun2002,11,YEJun 2002,11
YESep2002,12,YESep 2002,12
YEDec2002,13,YEDec 2002,13
YEMar2003,14,YEMar 2003,14
YEJun2003,15,YEJun 2003,15
YESep2003,16,YESep 2003,16
YEDec2003,17,YEDec 2003,17
YEMar2004,18,YEMar 2004,18
YEJun2004,19,YEJun 2004,19
YESep2004,20,YESep 2004,20
YEDec2004,21,YEDec 2004,21
YEMar2005,22,YEMar 2005,22
YEJun2005,23,YEJun 2005,23
YESep2005,24,YESep 2005,24
YEDec2005,25,YEDec 2005,25
YEMar2006,26,YEMar 2006,26
YEJun2006,27,YEJun 2006,27
YESep2006,28,YESep 2006,28
YEDec2006,29,YEDec 2006,29
YEMar2007,30,YEMar 2007,30
YEJun2007,31,YEJun 2007,31
YESep2007,32,YESep 2007,32
YEDec2007,33,YEDec 2007,33
YEMar2008,34,YEMar 2008,34
YEJun2008,35,YEJun 2008,35
YESep2008,36,YESep 2008,36
YEDec2008,37,YEDec 2008,37
YEMar2009,38,YEMar 2009,38
YEJun2009,39,YEJun 2009,39
YESep2009,40,YESep 2009,40
YEDec2009,41,YEDec 2009,41
YEMar2010,42,YEMar 2010,42
YEJun2010,43,YEJun 2010,43
YESep2010,44,YESep 2010,44
YEDec2010,45,YEDec 2010,45
YEMar2011,46,YEMar 2011,46
YEJun2011,47,YEJun 2011,47
YESep2011,48,YESep 2011,48
YEDec2011,49,YEDec 2011,49
YEMar2012,50,YEMar 2012,50
YEJun2012,51,YEJun 2012,51
YESep2012,52,YESep 2012,52
YEDec2012,53,YEDec 2012,53
All,54,All,54
